地区,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
郑州市,56.28,51.98,59.8,64.01,69.83,75.53,73.47,74.36,73.77,74.23,83.3,82.67,76.83,79.73,76.22,72,75.17,73.84,72.71,57.25,61.38,64.34,65.31
开封市,47.25,25.47,39.66,41.39,57.52,64.33,63.49,65.63,66.37,68.18,88.39,93.49,95.11,101.05,97.7,112.36,124.56,119.74,121.14,93.34,99.58,99.36,97.67
洛阳市,63.67,69.22,72.03,76.5,84.03,93.2,89.39,92.72,92.85,89.18,93.62,93.02,80.19,93.77,114.32,76.95,98.99,91.56,98.82,90.45,93.87,97.1,96.29
平顶山市,63.35,42,58.82,57.31,69.43,74.84,76.3,77.19,78.02,78.15,103.04,104.79,76.31,108.42,103.58,111.16,122.84,118.33,121.64,95.03,94.92,97.62,97.21
安阳市,75.48,77.08,86.14,91.84,118.6,132.12,134.21,139.31,138.65,140.23,201.48,206.46,211.12,216.88,203.02,217.76,234.59,227.97,235.62,118.32,161.08,164.07,165.62
鹤壁市,34.01,30.91,39.16,40.87,45.25,49,49.53,50.09,50.3,52.15,54.24,55.2,55.59,56.44,63.84,51.37,56.53,54.76,57.68,69.41,55.94,56.46,57.27
新乡市,86.17,78.52,86.24,91.18,102.31,112.52,115.14,116.11,117.7,124.44,153.26,156.52,165.04,169.75,162.57,194.74,210.24,209.34,222.27,140.76,184.98,187.83,190.07
焦作市,60.53,49.49,65.07,68.63,75.71,82.6,82.06,82.75,84.04,85.07,88.3,88.2,88.32,89.06,85.63,82.16,88.37,85.85,92.82,68.27,89.97,91.36,92.14
濮阳市,55.07,29.98,47.09,49.3,55.1,60.99,63.36,64.21,64.65,65.57,69.8,67.53,71.34,76.62,76.35,95.05,96.91,93.36,103.7,96.14,108.9,112.55,116.93
许昌市,64.71,53.84,65.88,67.56,84.29,99.23,97.64,99.32,102.36,106.74,109.56,109.49,105.09,114.22,107.31,99.73,106.65,101.32,103.95,95.07,103.6,107.46,102.9
漯河市,47.53,25.47,41.75,45.77,61.94,63.26,64.14,60.66,62.71,64.1,68.33,69.35,68.08,70.52,65.77,61.53,66.75,62.38,65.89,64.9,67.21,69.13,65.94
三门峡市,9.72,11.52,16.07,17.36,21.42,21.52,20.48,21.31,21.52,21.29,23.36,24.18,22.43,24.68,24.61,22.53,27.32,26.86,28.7,28.65,29.18,30.35,30.31
南阳市,90.32,65.44,85.59,90.25,108.27,138.82,141.56,144.49,146.49,153.79,192.54,201.62,201.86,222.24,213.26,228.75,262.71,252.04,266.13,220.45,231.69,247.86,197.77
商丘市,125.12,34.69,115.57,132.18,160.05,174.38,177.42,180.1,181.65,185.38,236.37,253.16,263.49,276.57,266.57,295.46,318.79,310.85,316.79,234.14,265.46,279.73,244.42
信阳市,13.4,6.74,12.09,13.57,17.54,16.32,13.83,13.05,12.79,14.01,16.44,17.51,17.75,16.53,22.3,15.26,16.61,14.68,13.13,8.86,11.17,11.77,9.48
周口市,133.83,31.9,110.23,110.3,169.17,190.24,183.88,177.23,181.47,210.71,262.86,274.51,274.45,295.18,285.52,325.27,362.85,351.76,392.52,341.25,347.4,365.54,341.38
驻马店市,153.71,55.03,159.72,165.98,205.42,185.08,192.86,200.45,206.63,221.01,253.88,259.28,259.23,272.34,262.95,263.54,284.71,278.63,296.5,251.65,257.01,272.17,256.9
济源市,6.32,6.37,7.11,7.69,9.47,10.13,10,9.97,10.05,10.06,10.44,10.5,10.07,10.34,10,9.9,10.71,10.36,11.04,9.52,10.57,11.02,11.02
