地区,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
郑州市,128.88,130.14,132.57,135.63,141.34,151.49,150.85,151.5,152.82,157.03,177.41,178.4,172.82,170.87,169.89,159.7,154.73,154.07,147.23,127.87,127.64,131.13,132.85
开封市,77,98.76,95.32,101.35,105.36,114.97,115.34,120.81,123.21,126.91,162.22,170.98,178.63,185.2,187.26,215.49,233.68,224.25,223.46,187.67,186.41,181.22,180.09
洛阳市,145.76,146.51,150.24,163.94,169.38,178.87,179.15,187.57,190.25,191.7,194.48,195.62,192.14,195.52,193.09,181.23,184.85,176.26,185.37,196.55,194.4,194.48,194.36
平顶山市,141.66,138.79,139.4,141.34,147.01,152.19,150.74,162.64,164.66,166.68,212.76,217.76,216.65,226.38,224.99,245.1,248.02,238.29,239.61,197.36,196.73,196.79,196.89
安阳市,125.66,135.43,145.88,155.65,193.15,200.28,200.86,212.24,214.59,219.7,292.7,301.02,310.58,313,311.89,328.21,336.65,325.78,334.64,251.56,253.29,252.1,252.29
鹤壁市,60.38,60.29,61.01,63.9,69.2,70.13,69.96,71.74,72.94,75.54,77.43,78.01,79.33,80.16,79.21,75.16,79.07,77.09,77.54,90.07,77.76,77.77,77.7
新乡市,150.56,151.81,162.72,166.07,176.07,184.3,186.96,189.15,193.48,204.51,243.29,253.53,269.8,273.72,295,338.49,335.23,334.82,348.9,309.27,310.12,307.66,308.61
焦作市,89.7,85.94,94.98,98.4,105.98,111.1,112.03,113.25,115.27,117.02,118.75,119.05,122.28,123.01,123.24,119.02,121.19,119.41,123.4,126.39,126.96,125.41,125.42
濮阳市,88.71,85.08,76.36,82.81,86.68,91.23,93.82,97.28,99.27,101.87,106.87,106.42,108.81,116.21,124.67,149.55,146,139.88,151.71,153.27,155.33,156.36,159.37
许昌市,108.41,102.66,107.17,116.15,135.18,157.62,145.97,155.7,158.7,173.19,174.72,174.11,178.39,180.98,172.57,159.72,159.55,149.34,144.24,153.59,155.24,155.86,157.04
漯河市,82.68,84.63,84.93,84.57,96.34,99.83,103.71,102.38,103.88,105.99,105.94,105.24,107.92,110.86,101.24,91.37,92.84,80.29,83.9,92.88,93.4,93.58,94.09
三门峡市,38.09,33.26,39.06,42.19,48.96,45.74,46.17,48.6,49.27,49.75,52.75,55.8,55.63,59.04,59,56.68,58.32,56.85,58.84,75.17,60.2,60.18,60.1
南阳市,177.42,166.29,181.48,193.72,204.46,248.79,254.2,262.89,267.91,286.02,343.28,366.49,404.62,425.04,429.32,470.77,517.65,507.9,515.05,467.86,470.35,472.36,468.82
商丘市,221.37,202.69,216.24,246.37,257.89,260.63,265.1,269,274.68,281.91,349.92,385.61,411.9,428.49,427.22,463.86,492.89,485.13,485.54,445.71,439.51,439.6,439.08
信阳市,24.25,25.47,28.45,29.45,31.82,33.01,34.48,30.28,30.7,31.95,35.64,37.63,38.41,35.43,33.73,24.59,25.67,23.46,23.78,15.62,18.9,18.43,14.99
周口市,223.12,199.56,213.39,226.84,252.04,310.86,315.4,325.12,330.5,353.9,413.6,444.36,462.26,467.34,475.39,555.72,565.97,550.55,588.21,542.82,544.11,545.96,548.25
驻马店市,282.04,287.99,316.05,332.21,351.49,373.5,390.82,364.48,408.4,422.97,474.6,482.68,494.14,502.13,502.1,500.96,500.73,492.73,494.64,438.83,434.85,434.94,436.17
济源市,15.08,13.62,14.74,17.59,19,18.96,18.71,19.06,19.3,19.28,19.54,19.61,19.73,19.89,19.7,19.43,20.01,19.33,20.37,20.05,20.53,20.55,20.52
